"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"2901","https://static-cdn.jtvnw.net/jtv_user_pictures/165083f0-39be-4ec0-961c-e0b1aeb9da58-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mirys","10087515","14160","1450","712","100407","3214","true","false","Portuguese","Mirys"
"2902","https://static-cdn.jtvnw.net/jtv_user_pictures/da233513-0da0-40a7-bcc4-43a68f32f539-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KRUesports","1307190","3360","4440","389","237990","3213","true","false","Spanish","KRUesports"
"2903","https://static-cdn.jtvnw.net/jtv_user_pictures/97c57d35-f3a1-4664-a324-951825f8ae63-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NooksGift","1510395","43095","123","35","58222","3212","false","false","English","NooksGift"
"2904","https://static-cdn.jtvnw.net/jtv_user_pictures/883d191d-2bda-40f8-9784-3166014cc6ab-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TyrionDaSauceGod","9570","2445","9","3","3651","3212","false","true","English","TyrionDaSauceGod"
"2905","https://static-cdn.jtvnw.net/jtv_user_pictures/d93dd2fe-1c44-4348-9af5-a6e8acf0119a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","amaliaghosties","3180","1875","9","1","3249","3212","false","true","English","amaliaghosties"
"2906","https://static-cdn.jtvnw.net/jtv_user_pictures/8a9c0603-7ff0-4189-bdc1-3072029a613d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","StRoGo","11788755","1335","14142","8830","1028494","3210","true","false","Russian","StRoGo"
"2907","https://static-cdn.jtvnw.net/jtv_user_pictures/a88423a0-39e1-4a81-b33e-86e8eade8610-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","karenliao","423975","3225","256","131","5416","3210","false","false","English","karenliao"
"2908","https://static-cdn.jtvnw.net/jtv_user_pictures/bdaf4858-ac84-4c44-b410-c92ddc5c54f8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LukiSteve","27159060","5700","14474","4764","260023","3208","true","false","Polish","LukiSteve"
"2909","https://static-cdn.jtvnw.net/jtv_user_pictures/f6cfe76f-3a7f-4615-a56f-bd82f849ba07-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CweamyMilk","2112390","2520","1700","838","24493","3208","false","true","English","CweamyMilk"
"2910","https://static-cdn.jtvnw.net/jtv_user_pictures/2a74b7da-4c2f-4a20-8a02-c7d77064c281-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PENTA","108687225","16230","11074","6696","340514","3207","true","true","English","PENTA"
"2911","https://static-cdn.jtvnw.net/jtv_user_pictures/f338a550-1963-4449-ab31-e99d30cd4876-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","BlitzStream","19701315","9825","8856","2005","160741","3207","true","false","French","BlitzStream"
"2912","https://static-cdn.jtvnw.net/jtv_user_pictures/a859ec7f-3ca1-43a6-a35a-e983454affa6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","viny11","22725","435","283","52","4337","3206","false","false","Portuguese","viny11"
"2913","https://static-cdn.jtvnw.net/jtv_user_pictures/eb33e800-8b50-4de4-a30a-a3fb66830403-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Euren_","1036650","6570","248","157","58643","3203","true","false","Spanish","Euren_"
"2914","https://static-cdn.jtvnw.net/jtv_user_pictures/a6b8caa9-cc90-4098-a652-bb21dc75e132-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","jankoq23","3585","1860","9","1","3554","3200","false","false","Polish","jankoq23"
"2915","https://static-cdn.jtvnw.net/jtv_user_pictures/4c1ac048-678e-4ca4-8ff0-b28b3ab6d894-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GuiP1_","1079685","3585","1515","301","84290","3198","false","false","Portuguese","GuiP1_"
"2916","https://static-cdn.jtvnw.net/jtv_user_pictures/83ca8ea7-7bff-4cd2-97e3-5925dba8b77e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","lucidftt","467400","4455","305","104","21024","3196","false","false","English","lucidftt"
"2917","https://static-cdn.jtvnw.net/jtv_user_pictures/40b9b6fd-9b61-4200-9dfa-c02ef695e9ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Louis_San","918165","450","3937","2040","39836","3195","true","false","French","Louis_San"
"2918","https://static-cdn.jtvnw.net/jtv_user_pictures/d55a0b03-b4fd-4a18-91cd-90833ef5c851-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","otto_bulletproof","840525","840","1647","1000","20001","3195","false","false","English","otto_bulletproof"
"2919","https://static-cdn.jtvnw.net/jtv_user_pictures/b9e6bada-a9b1-4e12-8033-4b4e9d4a3795-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Dr_Lesin","343500","2655","449","129","8605","3193","false","true","Russian","Dr_Lesin"
"2920","https://static-cdn.jtvnw.net/jtv_user_pictures/2ab8ea2e-1991-49e2-a2e1-ce734f067378-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","xnanatyx","1360140","6630","713","205","93531","3193","true","true","Spanish","xnanatyx"
"2921","https://static-cdn.jtvnw.net/jtv_user_pictures/1325df39-4a85-47c4-a694-4b7cde0138bc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ilProfessorediFUT","665550","3825","406","174","27455","3193","true","false","Italian","ilProfessorediFUT"
"2922","https://static-cdn.jtvnw.net/jtv_user_pictures/321b71d7-5d73-4894-bec4-56d39506fdb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DrFumery","807000","11025","198","73","13948","3192","false","false","French","DrFumery"
"2923","https://static-cdn.jtvnw.net/jtv_user_pictures/4c38c87f-162b-492c-9821-9a02cedf3779-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","karcsysuto21","234795","3540","198","66","4403","3189","false","false","Hungarian","karcsysuto21"
"2924","https://static-cdn.jtvnw.net/jtv_user_pictures/368b7b1a-a74e-455a-9552-00705f71f141-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SquChan","9027105","8700","2517","1037","82057","3189","true","false","English","SquChan"
"2925","https://static-cdn.jtvnw.net/jtv_user_pictures/782fb07f-8440-4569-b599-cc1352c84beb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","쿠하_ (sees360)","13009065","12840","1756","1013","52382","3188","true","false","Korean","쿠하_ (sees360)"
"2926","https://static-cdn.jtvnw.net/jtv_user_pictures/338716c4-1780-487b-bc06-f3223f05a649-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","BiggzAce","1666815","11520","287","144","14172","3188","true","true","English","BiggzAce"
