"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"24","https://static-cdn.jtvnw.net/jtv_user_pictures/e4b8f0d6-91ed-4233-b923-aae2c9269992-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","QuackityToo","56463675","1245","68508","45352","2989200","96705","true","false","Spanish","QuackityToo"
"25","https://static-cdn.jtvnw.net/jtv_user_pictures/2647e980-bb05-4049-908e-d217eb7235ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","asianbunnyx","39459420","13875","6396","2843","265464","91600","true","true","English","asianbunnyx"
"26","https://static-cdn.jtvnw.net/jtv_user_pictures/059eec62-ae08-4517-8abd-26c5b209bb94-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Carreraaa","29159145","2940","19234","9918","2707814","91105","true","false","Spanish","Carreraaa"
"27","https://static-cdn.jtvnw.net/jtv_user_pictures/1975b18f-fa7d-443f-b191-fba08f92f3a2-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ESL_CSGO","994464645","30960","246917","32120","5652260","90872","true","false","English","ESL_CSGO"
"28","https://static-cdn.jtvnw.net/jtv_user_pictures/a71759f1-11c4-4b0d-bec5-35a480b34958-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AriGameplays","19834770","2970","52065","6678","5052207","88804","true","false","Spanish","AriGameplays"
"29","https://static-cdn.jtvnw.net/jtv_user_pictures/c5463442-1f78-4998-af40-59afb5c6301b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Mayichi","35931660","10155","26224","3538","1643677","87613","true","false","Spanish","Mayichi"
"30","https://static-cdn.jtvnw.net/jtv_user_pictures/37454f0e-581b-42ba-b95b-416f3113fd37-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","293925660","8820","76992","33324","2568390","87471","true","false","Spanish","IlloJuan"
"31","https://static-cdn.jtvnw.net/jtv_user_pictures/73a412eb-6d1c-4a1d-8711-aca8e1d144cb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Amouranth","167936895","19485","20888","8618","5885592","84225","true","false","English","Amouranth"
"32","https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","zackrawrr","277118025","15825","78179","17511","976529","83290","false","false","English","zackrawrr"
"33","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","924585270","13230","227064","69885","11223230","76984","true","false","English","xQc"
"34","https://static-cdn.jtvnw.net/jtv_user_pictures/791ac228-58c4-4700-beed-86e48132d554-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Carola","59380980","9345","43480","6354","1264691","73493","true","false","Spanish","Carola"
