"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"3401","https://static-cdn.jtvnw.net/jtv_user_pictures/4f18df1f-aa7d-4ada-8eba-8ea0c29546bd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","FergyFergTV","53175","2220","124","23","4600","2784","false","true","French","FergyFergTV"
"3402","https://static-cdn.jtvnw.net/jtv_user_pictures/95f3a794-1402-47e5-b96b-a8eb15ae4b94-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Cabramaravilla","2200935","1380","2704","1594","38413","2782","true","false","Spanish","Cabramaravilla"
"3403","https://static-cdn.jtvnw.net/jtv_user_pictures/c31a4b3f-dfe8-4967-9031-dd829d60699b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Riotessa","43395","765","431","56","3803","2782","false","true","Russian","Riotessa"
"3404","https://static-cdn.jtvnw.net/jtv_user_pictures/9e36e6ad-88a2-40f8-bab0-07cfa46b5b1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Xa3_404","230475","7530","315","30","6125","2781","false","true","Russian","Xa3_404"
"3405","https://static-cdn.jtvnw.net/jtv_user_pictures/83d5c5e3-3462-4606-8b5e-17ac6baf0a46-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","lTaka_","1004940","7680","739","130","30500","2780","false","false","Thai","lTaka_"
"3406","https://static-cdn.jtvnw.net/jtv_user_pictures/df6ad2a1-d8d2-46ea-820a-dcddfbe7326e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MiguelArkjow","2952090","12270","873","240","6108","2779","false","false","Portuguese","MiguelArkjow"
"3407","https://static-cdn.jtvnw.net/jtv_user_pictures/0b8c0e7e-8809-4266-ae3b-286a411cd585-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PatProzyy","2065155","17130","1969","120","4568","2779","false","false","English","PatProzyy"
"3408","https://static-cdn.jtvnw.net/jtv_user_pictures/braxxter-profile_image-03120534350ea2c1-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","BraxXter","685875","7020","249","97","45791","2778","true","false","Spanish","BraxXter"
"3409","https://static-cdn.jtvnw.net/jtv_user_pictures/60646c62-27f0-44ca-b422-c39756a32cc7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ByJulito1","312225","3795","210","82","14085","2778","false","false","Spanish","ByJulito1"
"3410","https://static-cdn.jtvnw.net/jtv_user_pictures/a34127af-116a-43ae-856b-7d27f542667e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","copadobrasil","1905135","1710","7127","1114","17870","2778","true","false","Portuguese","copadobrasil"
"3411","https://static-cdn.jtvnw.net/jtv_user_pictures/d78010b4-516e-4858-9d7a-2e5df6750d69-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tectone","31245255","8370","12810","3733","810200","2777","true","false","English","Tectone"
"3412","https://static-cdn.jtvnw.net/jtv_user_pictures/13663e63-c2f3-4821-930d-b8a66f8ecdfe-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","yasspicyy","3231480","16440","596","196","22197","2776","false","false","English","yasspicyy"
"3413","https://static-cdn.jtvnw.net/jtv_user_pictures/9d634782-7861-4625-82db-a9a4eca892c1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","say_cat_oficial","1035765","5970","973","173","282286","2775","true","false","Portuguese","say_cat_oficial"
"3414","https://static-cdn.jtvnw.net/jtv_user_pictures/8fe8bfa8-e193-49f2-a841-3e8b21afd2c1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LaGamacherie","60450","2625","51","23","12555","2774","true","false","French","LaGamacherie"
"3415","https://static-cdn.jtvnw.net/jtv_user_pictures/3ffab19a-0201-4167-a1bf-01006e3069d8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","StundZow","347490","5295","281","65","37819","2773","true","false","French","StundZow"
"3416","https://static-cdn.jtvnw.net/jtv_user_pictures/5dc2389a-027e-4118-bf2d-729039e52ede-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","ildarzhe","775830","3000","934","258","15599","2773","true","false","Russian","ildarzhe"
"3417","https://static-cdn.jtvnw.net/jtv_user_pictures/4198d003-fdb7-473c-b8d3-08e590459d50-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","frozencoldtv","5569080","37755","430","147","2882","2773","false","false","Russian","frozencoldtv"
"3418","https://static-cdn.jtvnw.net/jtv_user_pictures/9ddc52a30d506e2a-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Aki_997","10849830","3555","6419","3051","127054","2772","false","false","Polish","Aki_997"
"3419","https://static-cdn.jtvnw.net/jtv_user_pictures/90e9c533-b09a-4843-b60f-00e195b041a8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","bytarifaaa","825525","1575","4784","524","1142319","2771","true","false","Spanish","bytarifaaa"
"3420","https://static-cdn.jtvnw.net/jtv_user_pictures/188bf9b5-e131-406e-b3dd-4df74d7f14f4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AngelinaNathalina","248235","4350","153","57","6379","2771","false","true","German","AngelinaNathalina"
"3421","https://static-cdn.jtvnw.net/jtv_user_pictures/17e3cbd0-3a57-4d96-bec7-b2840d709b9b-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","PalmBee","5267025","4140","2258","1272","91206","2770","true","true","English","PalmBee"
"3422","https://static-cdn.jtvnw.net/jtv_user_pictures/1958e5bf-0b61-41e6-825c-0c441b620efb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Johans","1422405","3285","1164","433","9536","2770","true","false","Norwegian","Johans"
"3423","https://static-cdn.jtvnw.net/jtv_user_pictures/stegi-profile_image-05c7e0763d078e9a-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","stegi","3717720","10920","1552","340","316759","2769","true","false","German","stegi"
"3424","https://static-cdn.jtvnw.net/jtv_user_pictures/d071622c-dfa5-4444-814b-88dd61b1fd8a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","mrmokucho","665025","14445","97","46","7687","2766","false","true","Spanish","mrmokucho"
"3425","https://static-cdn.jtvnw.net/jtv_user_pictures/dbe8ab7c-70c3-474a-b69f-9a7dddf205b8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ZBRA","1676775","5925","1291","283","31018","2765","true","false","English","ZBRA"
"3426","https://static-cdn.jtvnw.net/jtv_user_pictures/93e25ad3-9d5c-4f09-8d29-4b0aede1f4c1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","chenlhongg","840285","7335","976","114","11808","2765","false","false","Thai","chenlhongg"
"3427","https://static-cdn.jtvnw.net/jtv_user_pictures/50b7f5f7-efbe-46f5-a4c1-2c66ee7f1b5c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","lewisboothy_","104685","2040","373","51","28105","2765","false","true","English","lewisboothy_"
