"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"901","https://static-cdn.jtvnw.net/jtv_user_pictures/1d6dd3a0-900d-4d7c-8851-e9c2607d9149-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2kcaioteixeira","2137290","1515","2643","1410","56596","8725","false","false","Portuguese","2kcaioteixeira"
"902","https://static-cdn.jtvnw.net/jtv_user_pictures/d1b5d862-8328-4975-bd21-c36f89effca0-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","c0ker","7824525","4410","5874","1774","223559","8723","true","false","Spanish","c0ker"
"903","https://static-cdn.jtvnw.net/jtv_user_pictures/81dc844f-bed8-4374-b7ab-e5a9a93ef9c1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheMagmaBoi","1188840","3090","1047","384","127257","8715","true","false","Spanish","TheMagmaBoi"
"904","https://static-cdn.jtvnw.net/jtv_user_pictures/cf2214c6-2edb-40a1-b9f4-79cd181f7209-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ekatze007","8454720","3165","13789","2671","647355","8710","true","false","Russian","ekatze007"
"905","https://static-cdn.jtvnw.net/jtv_user_pictures/fedcb50d-8c08-4835-9c43-47fc86f27670-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","gohuntleo","1329735","3285","1635","404","9366","8703","false","false","Spanish","gohuntleo"
"906","https://static-cdn.jtvnw.net/jtv_user_pictures/4f182bee-012a-4955-9bd2-55d903f84276-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RocketLeague","42471900","1515","65468","28034","3739023","8697","true","false","English","RocketLeague"
"907","https://static-cdn.jtvnw.net/jtv_user_pictures/dcf8c94a-4e7f-4d04-9608-98b44c267723-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","D3stri","2489070","7545","5861","329","1020618","8696","true","false","Spanish","D3stri"
"908","https://static-cdn.jtvnw.net/jtv_user_pictures/0526935c-5783-4590-8dc1-16445842633d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","willneff","19000095","4230","18966","4491","384090","8678","true","true","English","willneff"
"909","https://static-cdn.jtvnw.net/jtv_user_pictures/beb97585-98d9-431c-b42d-c35b995adc51-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ZimaRussia","297285","9060","1036","32","8661","8651","false","true","English","ZimaRussia"
"910","https://static-cdn.jtvnw.net/jtv_user_pictures/terracid-profile_image-d0b3a49fe9db5777-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Terracid","16543965","4260","10686","3883","813321","8650","true","false","French","Terracid"
"911","https://static-cdn.jtvnw.net/jtv_user_pictures/b417a2df-b224-4869-adc6-61951b5f0d9a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Kennzy","18993555","10500","6647","1808","363542","8642","true","false","Portuguese","Kennzy"
"912","https://static-cdn.jtvnw.net/jtv_user_pictures/1b359db1-5cff-448b-ab9d-0178cc0145d0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DaniePanie","338190","11730","166","28","28633","8631","false","true","German","DaniePanie"
"913","https://static-cdn.jtvnw.net/jtv_user_pictures/13b94da4-3ff3-49ba-95ae-81aeb74339fa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElAbrahaham","3857790","9180","1651","420","137180","8623","true","false","Spanish","ElAbrahaham"
"914","https://static-cdn.jtvnw.net/jtv_user_pictures/a80fadd0-eca8-4754-b8e2-0d26bc5458fd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","버니버니 (bunnychannel_)","6181560","7245","2502","853","151941","8618","true","false","Korean","버니버니 (bunnychannel_)"
"915","https://static-cdn.jtvnw.net/jtv_user_pictures/93b253cc-12d8-4b08-a3bf-d22a1f57197c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","lurdinharp","1641765","8970","981","183","11065","8607","false","true","Portuguese","lurdinharp"
"916","https://static-cdn.jtvnw.net/jtv_user_pictures/b0942318-9297-444b-94dc-cf3f34cd2f7b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RebeuDeter","12652560","360","50527","35146","951091","8605","true","false","French","RebeuDeter"
