"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"401","https://static-cdn.jtvnw.net/jtv_user_pictures/905af69a-4fd8-42c7-b842-bf4ee4d51b3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tubbo","33727965","4890","29785","6897","4947259","15983","true","false","English","Tubbo"
"402","https://static-cdn.jtvnw.net/jtv_user_pictures/911c3fbf-3e9c-4c89-bd4e-65b13a684dcb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","K1ANUSH","1224075","5190","1442","235","80021","15950","true","true","German","K1ANUSH"
"403","https://static-cdn.jtvnw.net/jtv_user_pictures/2af48a59-1b95-41ef-ab56-a0b70bfd5636-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Insym","46226085","8085","15566","5717","386559","15932","true","false","English","Insym"
"404","https://static-cdn.jtvnw.net/jtv_user_pictures/279b7261-9344-4dab-a397-389a759481c6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ClashRoyale","4049550","2505","25024","1616","163430","15912","true","false","English","ClashRoyale"
"405","https://static-cdn.jtvnw.net/jtv_user_pictures/feelfifaandgamingtv-profile_image-880011156860015c-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","FeelFIFAandGamingTV","9483300","4995","17534","1898","476635","15909","true","false","German","FeelFIFAandGamingTV"
"406","https://static-cdn.jtvnw.net/jtv_user_pictures/3e0c454f-755d-4816-acf9-3953211cd289-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SASHMAT","4440","705","176","6","17928","15877","false","false","Russian","SASHMAT"
"407","https://static-cdn.jtvnw.net/jtv_user_pictures/42f40308-2b45-4429-ab94-6eda2afcad44-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8cho","13553355","5070","10122","2673","1303955","15868","true","false","Spanish","8cho"
"408","https://static-cdn.jtvnw.net/jtv_user_pictures/ad9c258b-bd28-40ac-aefc-12504c9cc4d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AdrianahLee","2274255","1155","10393","1969","61994","15867","true","true","English","AdrianahLee"
"409","https://static-cdn.jtvnw.net/jtv_user_pictures/9e894c05-6131-4414-bf01-a65e9f88b13a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AustinShow","14019120","450","69169","31153","1674902","15866","true","false","English","AustinShow"
"410","https://static-cdn.jtvnw.net/jtv_user_pictures/29b5afdf-371f-4fcf-81cf-9247dcf093d6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","HistoriaPublica","5911350","2190","7354","2699","55949","15844","false","true","Portuguese","HistoriaPublica"
"411","https://static-cdn.jtvnw.net/jtv_user_pictures/76f9c0df-21a3-4183-a0aa-ade9af249bb6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","antonychenn","5964465","3480","8124","1713","445086","15837","true","false","English","antonychenn"
"412","https://static-cdn.jtvnw.net/jtv_user_pictures/92d74605-38fd-4b65-b410-b501bf36ac96-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheDanDangler","20919855","7440","8662","2811","423548","15730","true","false","English","TheDanDangler"
"413","https://static-cdn.jtvnw.net/jtv_user_pictures/e96df3d2-0be3-40af-98ab-b30dd8db7130-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PipePunk","5082465","5520","4499","920","1388927","15704","true","false","Spanish","PipePunk"
"414","https://static-cdn.jtvnw.net/jtv_user_pictures/b66f046e-b701-4847-b786-4c29b2d72906-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tuonto","8205285","2910","17535","2819","714356","15694","true","false","English","tuonto"
"415","https://static-cdn.jtvnw.net/jtv_user_pictures/1118e88075ae6edf-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","elfeba","235725","5955","80","39","29963","15663","true","true","German","elfeba"
"416","https://static-cdn.jtvnw.net/jtv_user_pictures/9ac10405-1c02-4fc9-b2e7-f0c40ddec9f6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","StarVTuber","1566420","2460","2197","636","397448","15641","true","false","Spanish","StarVTuber"
"417","https://static-cdn.jtvnw.net/jtv_user_pictures/f1a12b66-6db9-4466-8935-9da9d4cb8411-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","midbeast","54043995","9120","18732","5925","744279","15632","true","false","English","midbeast"
"418","https://static-cdn.jtvnw.net/jtv_user_pictures/e4ba4b16-de9e-4e1c-a966-19c018f5a607-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MariusOptimus","1611900","8805","2109","183","77053","15606","true","false","Spanish","MariusOptimus"
"419","https://static-cdn.jtvnw.net/jtv_user_pictures/e536cf88-fc55-4438-941b-b228ab82166d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Cabritoz","21693540","14385","4281","1508","374027","15586","true","false","Portuguese","Cabritoz"
"420","https://static-cdn.jtvnw.net/jtv_user_pictures/6094a8de-a504-4c3d-b287-7e99e3bb36a4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","HOLLYWOOD285","32041350","16185","8519","1979","283744","15486","true","false","Italian","HOLLYWOOD285"
"421","https://static-cdn.jtvnw.net/jtv_user_pictures/d5a25920-52f5-46c7-8031-39f838585b9c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DougDougW","17365155","3315","8190","5238","519997","15470","true","false","English","DougDougW"
"422","https://static-cdn.jtvnw.net/jtv_user_pictures/516283aa-d549-4e49-b066-1fa0618a2219-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","kae4ka","3697650","885","12221","4178","130721","15454","true","false","Russian","kae4ka"
"423","https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Kamet0","125131020","9165","39062","13653","1478660","15429","true","false","French","Kamet0"
"424","https://static-cdn.jtvnw.net/jtv_user_pictures/ecd6ee59-9f18-4eec-b8f3-63cd2a9127a5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","아이네_ (vo_ine)","51963000","4320","24908","12028","225115","15425","true","false","Korean","아이네_ (vo_ine)"
"425","https://static-cdn.jtvnw.net/jtv_user_pictures/f2497160-445b-40b4-8af1-95221c8d6a69-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","two9player","3801045","7005","3197","542","39304","15359","false","false","Portuguese","two9player"
