"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"2624","https://static-cdn.jtvnw.net/jtv_user_pictures/538b904b-f7c0-4738-b288-bc9d18065245-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RTGame","13026645","3300","6310","3947","1116394","3521","true","false","English","RTGame"
"2625","https://static-cdn.jtvnw.net/jtv_user_pictures/280dbe9b-6d20-4516-8689-79033bd979b9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ratdude2244","1214745","5775","519","210","9131","3519","false","false","English","ratdude2244"
"2626","https://static-cdn.jtvnw.net/jtv_user_pictures/5052b7f4-70d7-48bd-ba9e-a0996e3b66f3-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","tiltedwinnie","3332160","6885","2147","483","53839","3518","true","true","English","tiltedwinnie"
"2627","https://static-cdn.jtvnw.net/jtv_user_pictures/26efef2c-e436-4012-9885-ff0c90dbf56b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","stefkicha1","1057515","8025","334","131","23346","3517","true","false","Bulgarian","stefkicha1"
"2628","https://static-cdn.jtvnw.net/jtv_user_pictures/0c9d12eb-8ffc-46ae-b532-d4faaccf1125-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AlfaMatt","65085","9975","24","6","12079","3517","false","false","Spanish","AlfaMatt"
"2629","https://static-cdn.jtvnw.net/jtv_user_pictures/93b8f826-70a1-4b1b-85e4-f409728bc501-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Torkie","638400","8400","235","76","14711","3516","true","true","English","Torkie"
"2630","https://static-cdn.jtvnw.net/jtv_user_pictures/d2a77470-e82a-4956-8647-64bd67a6ddbf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Vhykka","429360","15180","71","28","4475","3515","false","false","Spanish","Vhykka"
"2631","https://static-cdn.jtvnw.net/jtv_user_pictures/618f768f-6e83-46ff-844c-c5f06f5a5808-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ilrossopiubelloditwitch","932700","3825","885","243","4954","3513","false","false","Italian","ilrossopiubelloditwitch"
"2632","https://static-cdn.jtvnw.net/jtv_user_pictures/61a5fd02-07e8-46d7-b4b8-c91cd409e771-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Jewanderz","7444980","4155","5001","1791","74235","3511","true","false","Swedish","Jewanderz"
"2633","https://static-cdn.jtvnw.net/jtv_user_pictures/193a6dc3-b33e-47ac-ab8d-685f4b29c16b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","BagginsTV","17330070","7620","5752","2274","85232","3510","true","false","English","BagginsTV"
"2634","https://static-cdn.jtvnw.net/jtv_user_pictures/6ed0f9f7-bb3c-4eef-8470-fa402ca20038-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Sxdney__","1740","435","11","4","4394","3509","false","false","Dutch","Sxdney__"
