"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"1901","https://static-cdn.jtvnw.net/jtv_user_pictures/5bbbe667-9f1a-4e0e-b8f7-9ecff18a2549-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Hctuan","3293025","5475","1498","601","317956","4717","true","false","French","Hctuan"
"1902","https://static-cdn.jtvnw.net/jtv_user_pictures/76809f2c-f8b9-4e9b-a3bb-6095411e74f6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","jealousoctopusyt","253020","7065","102","35","6184","4714","false","false","English","jealousoctopusyt"
"1903","https://static-cdn.jtvnw.net/jtv_user_pictures/ad6e67f9-a06b-4797-89f0-cc2af87ea05d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RetalsRL","1920885","1305","6985","1471","70965","4710","true","false","English","RetalsRL"
"1904","https://static-cdn.jtvnw.net/jtv_user_pictures/b90ee9df-fa08-4d64-b103-4da9baf6b40a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Apathy","6283365","13335","2807","471","187214","4709","true","false","English","Apathy"
"1905","https://static-cdn.jtvnw.net/jtv_user_pictures/d54c4422-f699-4443-a7c7-65ebb1883d0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","cecilia_toxic_girl","290265","5250","319","55","8791","4709","false","false","Italian","cecilia_toxic_girl"
"1906","https://static-cdn.jtvnw.net/jtv_user_pictures/fc6c75f6-7db2-4128-8fa2-b82f0438f6a0-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","ManuelFerraraTV","2093160","6645","999","314","438218","4709","true","true","French","ManuelFerraraTV"
"1907","https://static-cdn.jtvnw.net/jtv_user_pictures/f42901d1-c8b1-4df4-bff9-4fdd23fab1ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MoneyBagEk","866295","5940","238","145","20201","4708","false","false","English","MoneyBagEk"
"1908","https://static-cdn.jtvnw.net/jtv_user_pictures/5c8b753b-b14f-4050-aff1-614a729fa79e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","JocelynOnline","1336050","2910","16837","459","53940","4704","true","true","English","JocelynOnline"
"1909","https://static-cdn.jtvnw.net/jtv_user_pictures/79a6212f-a586-47c9-b061-a9d0b56b897b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Va2si","1270635","20265","1005","62","6755","4703","false","false","German","Va2si"
"1910","https://static-cdn.jtvnw.net/jtv_user_pictures/90591f72-6bf7-48c9-8dae-04ba6aeb906a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SmallAnt","7587465","2685","5869","2825","1184219","4703","true","false","English","SmallAnt"
"1911","https://static-cdn.jtvnw.net/jtv_user_pictures/02eb5399-3755-4521-9809-f004681dc090-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","NemesisTV","1241385","3390","1192","366","276426","4702","true","true","Turkish","NemesisTV"
"1912","https://static-cdn.jtvnw.net/jtv_user_pictures/61077719-c63b-4e16-83c6-ad356230f037-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","cheezt_","2865","2535","6","1","4738","4697","false","false","English","cheezt_"
"1913","https://static-cdn.jtvnw.net/jtv_user_pictures/c03f751a-87ad-46eb-a108-08bef34c0908-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GambitZeros","1247760","7380","499","169","97094","4691","true","false","Portuguese","GambitZeros"
"1914","https://static-cdn.jtvnw.net/jtv_user_pictures/ca461602-e175-4319-bb4f-cc44e3a15ff5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","remsua","7123470","3675","5106","1938","362491","4687","true","false","Polish","remsua"
"1915","https://static-cdn.jtvnw.net/jtv_user_pictures/6e1ed7df-453b-47d1-839b-dc5069954b91-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","夜よいち (yoichi_0v0)","7531860","5130","4875","1468","79500","4677","true","false","Japanese","夜よいち (yoichi_0v0)"
