"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/1c14619b-d930-48d4-bd17-91784c8bde0f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","ElSpreen","1597546290","24660","188812","64782","5618251","1298997","true","false","Spanish","ElSpreen"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ElMariana","878633055","19170","103184","45833","5667880","986597","true","false","Spanish","ElMariana"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KaiCenat","1919680335","37635","174509","51007","2402017","929272","true","false","English","KaiCenat"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PaulinhoLOKObr","911967765","14670","149938","62165","1235167","851438","true","false","Portuguese","PaulinhoLOKObr"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/0e6f8782-d5b9-4a51-ae8a-9c952c213487-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","rivers_gg","281663655","20550","44324","13706","1901163","743305","true","false","Spanish","rivers_gg"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","auronplay","1697064960","16335","360098","103891","13977403","739664","true","false","Spanish","auronplay"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/e4b8f0d6-91ed-4233-b923-aae2c9269992-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","QuackityToo","244654980","5415","80539","45180","2989200","692819","true","false","Spanish","QuackityToo"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/74586414-e27b-4347-89c5-109e42ac3e1d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","juansguarnizo","704782995","21750","105524","32403","9151747","686131","true","false","Spanish","juansguarnizo"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Rubius","878696865","21120","167618","41604","12846642","583995","true","false","Spanish","Rubius"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/8766585f-8c02-48b5-9574-228ec3e01109-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","VALORANT","1219829700","42330","281190","28817","3463782","563280","true","false","English","VALORANT"
"11","https://static-cdn.jtvnw.net/jtv_user_pictures/92691c18-43fd-430c-91f0-7e7d7d1ec4bf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nadia","110031105","33900","14104","3245","606177","541460","true","false","English","Nadia"
"12","https://static-cdn.jtvnw.net/jtv_user_pictures/059eec62-ae08-4517-8abd-26c5b209bb94-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Carreraaa","213345855","17445","41792","12229","2707814","524317","true","false","Spanish","Carreraaa"
"13","https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ibai","1082528250","19845","236688","54549","11705021","481215","true","false","Spanish","ibai"
"14","https://static-cdn.jtvnw.net/jtv_user_pictures/0863a8b0-7fdb-44a9-8212-680cfbaa38f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LuquEt4","618915810","33780","92525","18321","809192","468755","true","false","Portuguese","LuquEt4"
"15","https://static-cdn.jtvnw.net/jtv_user_pictures/37454f0e-581b-42ba-b95b-416f3113fd37-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","854290125","21390","138607","39938","2568390","443350","true","false","Spanish","IlloJuan"
"16","https://static-cdn.jtvnw.net/jtv_user_pictures/10c197cb-295f-4d40-8a6c-26a0a5da22ee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AdinRoss","1065351060","17445","128427","61069","6533726","430107","true","false","English","AdinRoss"
"17","https://static-cdn.jtvnw.net/jtv_user_pictures/a71759f1-11c4-4b0d-bec5-35a480b34958-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AriGameplays","63050940","8025","52065","7856","5052207","410850","true","false","Spanish","AriGameplays"
