"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"1401","https://static-cdn.jtvnw.net/jtv_user_pictures/1fc2d8fd-eaf5-4612-bc99-0f7a84a21ef6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Shinasee301","4305030","5715","3362","753","33777","6016","true","false","Turkish","Shinasee301"
"1402","https://static-cdn.jtvnw.net/jtv_user_pictures/a406cb2f-408b-4377-96b2-8890c6904e84-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Commander_NDS","1200","735","5","1","6288","6005","false","false","German","Commander_NDS"
"1403","https://static-cdn.jtvnw.net/jtv_user_pictures/e910e106-9785-43af-b8ca-be8856afa6f1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nathmusica","1333740","1260","4187","1058","45332","6002","true","false","Spanish","Nathmusica"
"1404","https://static-cdn.jtvnw.net/jtv_user_pictures/02bf0f21-ec8d-4721-99d6-b92bc0ebe9f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LouFromDablock","1007940","6720","2857","149","13153","5999","false","true","English","LouFromDablock"
"1405","https://static-cdn.jtvnw.net/jtv_user_pictures/8226f6c2-e779-4a30-8f0f-298324e47d63-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Bethesda","4349370","675","41276","6443","672457","5997","true","true","English","Bethesda"
"1406","https://static-cdn.jtvnw.net/jtv_user_pictures/mylonzete-profile_image-db23c2eb385eab8c-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","Mylonzete","9661710","3795","5958","2545","482363","5996","true","true","Portuguese","Mylonzete"
"1407","https://static-cdn.jtvnw.net/jtv_user_pictures/d3e07e96-c8c2-4cfd-a08a-2cb4c0767728-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","oldmanspacca","2961585","4680","2427","632","55314","5991","true","true","Portuguese","oldmanspacca"
"1408","https://static-cdn.jtvnw.net/jtv_user_pictures/99ce7ca6-8386-4d8f-892d-684ab9f3fffb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LINDO_GAME","18060","1500","528","12","6309","5991","false","false","Italian","LINDO_GAME"
"1409","https://static-cdn.jtvnw.net/jtv_user_pictures/509a451c75fdb723-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AbdulHD","18611325","16980","3263","1096","361740","5990","true","false","English","AbdulHD"
"1410","https://static-cdn.jtvnw.net/jtv_user_pictures/c02c4c16-6edd-40df-91e4-25c53dab9fca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Elite500","12648300","10905","3529","1159","244065","5989","true","false","English","Elite500"
"1411","https://static-cdn.jtvnw.net/jtv_user_pictures/0f5751e4-5dad-4239-b06b-670770c436e1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","KDRkitten","9206115","6870","3070","1340","237399","5986","true","true","German","KDRkitten"
"1412","https://static-cdn.jtvnw.net/jtv_user_pictures/96945a07-1c05-4a37-9a2e-c6904464c0e7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SareneWild","6045210","29475","511","205","12443","5986","false","false","English","SareneWild"
"1413","https://static-cdn.jtvnw.net/jtv_user_pictures/07509ec4-8bdc-46bb-8943-bb04f14f9ed6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SantyPa10","43485","2790","193","15","12207","5981","false","false","Spanish","SantyPa10"
"1414","https://static-cdn.jtvnw.net/jtv_user_pictures/a9f77b03-7238-42fc-8dac-45d678c7b6ae-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","deevanych","27105","1845","40","14","6457","5980","false","false","Russian","deevanych"
"1415","https://static-cdn.jtvnw.net/jtv_user_pictures/82e31853-192f-43e7-986d-5ea7e5c285f4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","latesitoo","11073180","8835","2803","1253","193806","5980","true","false","Spanish","latesitoo"
"1416","https://static-cdn.jtvnw.net/jtv_user_pictures/0309f8cb-d20e-4261-9c37-6b84f31260db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","by_Owl","15585180","5025","14985","3101","440091","5979","true","false","Russian","by_Owl"
"1417","https://static-cdn.jtvnw.net/jtv_user_pictures/4b0227ac-74b7-429e-9e54-26b93b538a71-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Karni","5744190","7410","14846","775","46743","5974","true","false","German","Karni"
"1418","https://static-cdn.jtvnw.net/jtv_user_pictures/d379b529-bb06-4810-ad8d-9313fa9057db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","AsianGuyStream","4024350","1530","5412","2630","340673","5972","true","false","English","AsianGuyStream"
"1419","https://static-cdn.jtvnw.net/jtv_user_pictures/f12653b0-1efe-49b8-97e9-ed1f19ea93a4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","XababTV","2976960","12720","504","234","106642","5970","true","false","French","XababTV"
"1420","https://static-cdn.jtvnw.net/jtv_user_pictures/bb0a82e2-c809-43a9-b56e-01c683cfa26d-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","KennyStream","10055895","9195","9771","1093","318780","5969","true","false","French","KennyStream"
"1421","https://static-cdn.jtvnw.net/jtv_user_pictures/5a0c2df2-ccf0-480a-bfac-ac42d6c215e1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","queasy","2076495","3360","3460","618","200857","5963","true","false","Other","queasy"
"1422","https://static-cdn.jtvnw.net/jtv_user_pictures/7c940bd3-7d46-421d-8e33-80c0a10bac0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","inkmate0","15847950","7755","5074","2043","111907","5962","true","false","Russian","inkmate0"
"1423","https://static-cdn.jtvnw.net/jtv_user_pictures/938e2765-7a70-4cdc-93ab-844b7b729e09-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","fugu_fps","5357220","4260","2618","1257","218876","5961","true","false","French","fugu_fps"
"1424","https://static-cdn.jtvnw.net/jtv_user_pictures/3d84e328-ff2e-4fd6-a721-d5e0ccd66cd3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","notjccaylen","1453770","1620","3368","897","9817","5959","true","false","English","notjccaylen"
"1425","https://static-cdn.jtvnw.net/jtv_user_pictures/80876e8f-6c6f-45d7-ad3c-a617aacdfc73-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tenderlybae","1804875","495","9043","3646","1176091","5954","true","false","Russian","tenderlybae"
"1426","https://static-cdn.jtvnw.net/jtv_user_pictures/635a9f1d-3da6-4853-b4d4-6e734c6b2fe6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","R6esportsBR","23337195","4455","11085","5238","557630","5945","true","false","Portuguese","R6esportsBR"
"1427","https://static-cdn.jtvnw.net/jtv_user_pictures/296df498-4e57-4151-94c7-0d5bd08cb5dc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","biroPJL","6166020","5925","3727","1040","342484","5944","true","true","Portuguese","biroPJL"
"1428","https://static-cdn.jtvnw.net/jtv_user_pictures/1e65169d-750b-4b18-a688-af840acc8624-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","x2Twins","3272025","1425","6991","2296","3072067","5944","true","false","English","x2Twins"
"1429","https://static-cdn.jtvnw.net/jtv_user_pictures/bccc7a18-a554-46d4-830d-1cb35b4edb32-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","BabyYoda_TV","725295","3630","1808","199","48422","5940","true","false","English","BabyYoda_TV"
